th,Tp,Fp,Tn,Fn,accuracy,Precision,recall,Specificity,F1
1.0,0,0,10,10,0.47619047619047616,1.0,0.0,1.0,0.0
0.95,1,0,10,9,0.5238095238095238,1.0,0.1,1.0,0.18181818181818182
0.9,2,0,10,8,0.5714285714285714,1.0,0.2,1.0,0.33333333333333337
0.85,2,1,9,8,0.5238095238095238,0.6666666666666666,0.2,0.9,0.30769230769230765
0.8,3,1,9,7,0.5714285714285714,0.75,0.3,0.9,0.4285714285714285
0.75,4,1,9,6,0.6190476190476191,0.8,0.4,0.9,0.5333333333333333
0.7,5,1,9,5,0.6666666666666666,0.8333333333333334,0.5,0.9,0.625
0.65,5,2,8,5,0.6190476190476191,0.7142857142857143,0.5,0.8,0.588235294117647
0.6,5,2,8,5,0.6190476190476191,0.7142857142857143,0.5,0.8,0.588235294117647
0.55,6,2,8,4,0.6666666666666666,0.75,0.6,0.8,0.6666666666666665
0.5,7,2,8,3,0.7142857142857143,0.7777777777777778,0.7,0.8,0.7368421052631577
0.45,9,2,8,1,0.8095238095238095,0.8181818181818182,0.9,0.8,0.8571428571428572
0.4,9,2,8,1,0.8095238095238095,0.8181818181818182,0.9,0.8,0.8571428571428572
0.35,9,3,7,1,0.7619047619047619,0.75,0.9,0.7,0.8181818181818182
0.3,9,4,6,1,0.7142857142857143,0.6923076923076923,0.9,0.6,0.7826086956521738
0.25,9,5,5,1,0.6666666666666666,0.6428571428571429,0.9,0.5,0.75
0.2,9,6,4,1,0.6190476190476191,0.6,0.9,0.4,0.7200000000000001
0.15,9,8,2,1,0.5238095238095238,0.5294117647058824,0.9,0.2,0.6666666666666667
0.1,10,9,1,0,0.5238095238095238,0.5263157894736842,1.0,0.1,0.6896551724137931
0.05,10,10,0,0,0.47619047619047616,0.5,1.0,0.0,0.6666666666666666
0.0,10,10,0,0,0.47619047619047616,0.5,1.0,0.0,0.6666666666666666
